id,issued_date,paid_date
INV-001,2026-01-05,2026-01-20
INV-002,2026-01-08,2026-01-06
INV-003,2026-01-10,2026-01-25
INV-004,2026-01-12,2026-01-11
INV-005,2026-01-15,2026-02-01
INV-006,2026-01-18,2026-02-02
INV-007,2026-01-20,2026-01-19
INV-008,2026-01-22,2026-02-10
INV-009,2026-01-25,2026-02-05
INV-010,2026-01-28,2026-02-12
INV-011,2026-02-01,2026-02-20
INV-012,2026-02-03,2026-01-30
INV-013,2026-02-05,2026-02-25
INV-014,2026-02-08,2026-02-22
INV-015,2026-02-10,2026-03-01
INV-016,2026-02-12,2026-02-11
INV-017,2026-02-15,2026-03-05
INV-018,2026-02-18,2026-03-10
INV-019,2026-02-20,2026-03-15
INV-020,2026-02-22,2026-03-08
