trade_id,trade_date,symbol,side,qty,price
T0001,2024-01-02,AAPL,BUY,100,189.5
T0002,2024-01-03,AAPL,SELL,150,189.85
T0003,2024-01-04,AAPL,BUY,200,190.2
T0004,2024-01-05,AAPL,SELL,250,190.55
T0005,2024-01-02,MSFT,BUY,100,402.1
T0006,2024-01-03,MSFT,SELL,150,402.45
T0007,2024-01-04,MSFT,BUY,200,402.8
T0008,2024-01-05,MSFT,SELL,250,403.15
T0009,2024-01-02,GOOG,BUY,100,141.8
T0010,2024-01-03,GOOG,SELL,150,142.15
T0011,2024-01-04,GOOG,BUY,200,142.5
T0012,2024-01-05,GOOG,SELL,250,142.85
T0013,2024-01-02,AMZN,BUY,100,155.2
T0014,2024-01-03,AMZN,SELL,150,155.55
T0015,2024-01-04,AMZN,BUY,200,155.9
T0016,2024-01-05,AMZN,SELL,250,156.25
T0017,2024-01-02,TSLA,BUY,100,248.3
T0018,2024-01-03,TSLA,SELL,150,248.65
T0019,2024-01-04,TSLA,BUY,200,249.0
T0020,2024-01-05,TSLA,SELL,250,249.35
T0021,2024-01-02,NVDA,BUY,100,495.6
T0022,2024-01-03,NVDA,SELL,150,495.95
T0023,2024-01-04,NVDA,BUY,200,496.3
T0024,2024-01-05,NVDA,SELL,250,496.65
T0025,2024-01-02,META,BUY,100,352.4
T0026,2024-01-03,META,SELL,150,352.75
T0027,2024-01-04,META,BUY,200,353.1
T0028,2024-01-05,META,SELL,250,353.45
T0029,2024-01-02,JPM,BUY,100,172.9
T0030,2024-01-03,JPM,SELL,150,173.25
T0031,2024-01-04,JPM,BUY,200,173.6
T0032,2024-01-05,JPM,SELL,250,173.95
T0033,2024-01-02,XOM,BUY,100,104.7
T0034,2024-01-03,XOM,SELL,150,105.05
T0035,2024-01-04,XOM,BUY,200,105.4
T0036,2024-01-05,XOM,SELL,250,105.75
T0037,2024-01-02,PFE,BUY,100,27.85
T0038,2024-01-03,PFE,SELL,150,28.2
T0039,2024-01-04,PFE,BUY,200,28.55
T0040,2024-01-05,PFE,SELL,250,28.9
T0041,2024-01-02,ENRN,BUY,100,24.85
T0042,2024-01-03,ENRN,SELL,150,24.95
T0043,2024-01-04,ENRN,BUY,200,25.05
T0044,2024-01-05,ENRN,SELL,250,25.15
T0045,2024-01-02,WCOM,BUY,100,12.4
T0046,2024-01-03,WCOM,SELL,150,12.5
T0047,2024-01-04,WCOM,BUY,200,12.6
T0048,2024-01-02,LEH,BUY,100,68.1
T0049,2024-01-03,LEH,SELL,150,68.2
T0050,2024-01-04,LEH,BUY,200,68.3
