month,value_usd
2019-01,100000
2019-02,102100.0
2019-03,101283.2
2019-04,102802.45
2019-05,103213.66
2019-06,104349.01
2019-07,102366.38
2019-08,105027.91
2019-09,105763.11
2019-10,105445.82
2019-11,107343.84
2019-12,108309.93
2020-01,109717.96
2020-02,110266.55
2020-03,112692.41
2020-04,111452.79
2020-05,113347.49
2020-06,113574.18
2020-07,115164.22
2020-08,114473.23
2020-09,116648.22
2020-10,117581.41
2020-11,115817.69
2020-12,118597.31
2021-01,119783.28
2021-02,121220.68
2021-03,120735.8
2021-04,122667.57
2021-05,123403.58
2021-06,125871.65
2021-07,124738.81
2021-08,125113.03
2021-09,127990.63
2021-10,128118.62
2021-11,130040.4
2021-12,129130.12
2022-01,131454.46
2022-02,132637.55
2022-03,134096.56
2022-04,132353.3
2022-05,135662.13
2022-06,136204.78
2022-07,138520.26
2022-08,138243.22
2022-09,139902.14
2022-10,140881.45
2022-11,143839.96
2022-12,142401.56
2023-01,144395.18
2023-02,145261.55
2023-03,148021.52
2023-04,148317.56
2023-05,145944.48
2023-06,149301.2
2023-07,150495.61
2023-08,152452.05
2023-09,151689.79
2023-10,154723.59
2023-11,156270.83
2023-12,156895.91
