month,precip_mm,et_mm,discharge_m3s,days_in_month,valid_days,water_table_m
2016-01,12,18,2.1,31,31,17.97
2016-02,18,24,2.4,29,22,18.02
2016-03,26,38,3.0,31,31,18.16
2016-04,41,55,3.9,30,30,18.27
2016-05,78,72,5.6,31,31,18.43
2016-06,112,86,8.2,30,30,18.53
2016-07,148,94,12.4,31,31,18.58
2016-08,131,88,13.8,31,31,18.60
2016-09,84,70,7.7,30,30,18.53
2016-10,45,48,4.3,31,31,18.47
2016-11,22,28,2.8,30,30,18.37
2016-12,14,19,2.2,31,31,18.32
2017-01,9,16,1.95,31,31,18.34
2017-02,15,22,2.23,28,28,18.42
2017-03,31,36,2.79,31,31,18.49
2017-04,38,53,3.63,30,30,18.64
2017-05,71,70,5.21,31,31,18.80
2017-06,104,84,7.63,30,30,18.93
2017-07,139,92,11.53,31,31,18.97
2017-08,126,86,12.83,31,23,18.96
2017-09,79,68,7.16,30,30,18.94
2017-10,47,46,4.0,31,31,18.81
2017-11,25,26,2.6,30,30,18.77
2017-12,14,17,2.05,31,31,18.69
2018-01,16,21,2.27,31,31,18.69
2018-02,21,27,2.59,28,28,18.75
2018-03,29,41,3.24,31,31,18.87
2018-04,44,58,4.21,30,30,19.03
2018-05,83,75,6.05,31,31,19.14
2018-06,119,89,8.86,30,30,19.27
2018-07,156,97,13.39,31,31,19.33
2018-08,138,91,14.9,31,31,19.32
2018-09,88,73,8.32,30,30,19.28
2018-10,43,51,4.64,31,31,19.18
2018-11,24,31,3.02,30,18,19.10
2018-12,15,22,2.38,31,31,19.05
2019-01,11,19,2.04,31,31,19.08
2019-02,17,25,2.33,28,28,19.12
2019-03,27,39,2.91,31,24,19.23
2019-04,40,56,3.78,30,30,19.38
2019-05,76,73,5.43,31,31,19.52
2019-06,118,87,7.95,30,30,19.62
2019-07,145,95,12.03,31,31,19.70
2019-08,143,89,13.39,31,31,19.70
2019-09,82,71,7.47,30,30,19.63
2019-10,46,49,4.17,31,31,19.56
2019-11,26,29,2.72,30,30,19.48
2019-12,14,20,2.13,31,31,19.45
